node,mean,median,sd,n,CI_upper,CI_lower,notes
751,3.423622556,3.420287,0.100899352,18005,3.425096388,3.422148725,
752,3.402871351,3.406859,0.136340885,18005,3.404862876,3.400879827,
753,3.278899329,3.279774,0.090203162,18005,3.280216922,3.277581736,
754,3.412944052,3.41539,0.087386369,18005,3.4142205,3.411667603,
755,3.411573743,3.414185,0.085642303,18005,3.412824716,3.41032277,
756,3.40555032,3.403631,0.087830529,18005,3.406833256,3.404267384,
757,3.405356431,3.402404,0.089002533,18005,3.406656487,3.404056376,
758,3.408267156,3.406591,0.084984738,18005,3.409508523,3.407025788,
759,3.407392168,3.40537,0.106268287,18005,3.408944424,3.405839913,
760,3.434611575,3.430161,0.102662515,18005,3.436111161,3.433111989,
761,3.479881719,3.485485,0.127893908,18005,3.481749858,3.478013579,
762,3.483939441,3.489563,0.132261129,18005,3.485871373,3.48200751,
763,3.474728318,3.480763,0.127008286,18005,3.476583522,3.472873115,
764,3.477186206,3.482024,0.12889794,18005,3.479069012,3.475303401,
765,3.517798032,3.515965,0.128837764,18005,3.519679959,3.515916106,
766,3.55564476,3.553814,0.110173952,18005,3.557254066,3.554035455,
767,3.577974906,3.570458,0.094860097,18005,3.579360523,3.57658929,
768,3.57522931,3.571729,0.088609593,18005,3.576523626,3.573934995,
769,3.581101334,3.583239,0.076621534,18005,3.582220541,3.579982127,
770,3.591429911,3.590483,0.09620345,18005,3.59283515,3.590024672,
771,3.557690938,3.555024,0.105225969,18005,3.559227968,3.556153907,
772,3.553495274,3.552877,0.030811264,18005,3.553945333,3.553045216,
773,3.431131055,3.435803,0.129858929,18005,3.433027897,3.429234212,
774,3.417719872,3.416147,0.097744979,18005,3.419147628,3.416292116,
775,3.405539678,3.404894,0.084151417,18005,3.406768874,3.404310483,
776,3.397158912,3.396141,0.073601266,18005,3.398234002,3.396083822,
777,3.389067212,3.389723,0.071223914,18005,3.390107576,3.388026848,
778,3.392021536,3.391031,0.076424494,18005,3.393137865,3.390905207,
779,3.319148935,3.318607,0.154939907,18005,3.321412134,3.316885735,
780,3.312283944,3.317026,0.162749296,18005,3.314661215,3.309906674,
781,3.348149962,3.356875,0.128916969,18005,3.350033046,3.346266878,
782,3.355327685,3.357809,0.115271514,18005,3.35701145,3.35364392,
783,3.352421796,3.358899,0.11509109,18005,3.354102926,3.350740666,
784,3.377529475,3.375921,0.14356539,18005,3.379626528,3.375432423,
785,3.384243624,3.378914,0.132874196,18005,3.386184511,3.382302737,
786,3.381562413,3.381868,0.118261711,18005,3.383289856,3.37983497,
787,3.383069311,3.382861,0.098047204,18005,3.384501482,3.381637141,
788,3.383602091,3.384878,0.098091691,18005,3.385034911,3.38216927,
789,3.361685933,3.369625,0.03967265,18005,3.36226543,3.361106437,
790,3.36172802,3.370241,0.039787748,18005,3.362309197,3.361146842,
791,3.380318663,3.378156,0.098192246,18005,3.381752952,3.378884374,
792,3.334215531,3.334075,0.024551922,18005,3.33457416,3.333856902,
793,3.380078179,3.382424,0.148472808,18005,3.382246914,3.377909445,
794,3.410005739,3.414044,0.158433906,18005,3.412319975,3.407691503,
795,3.387051849,3.388477,0.100524658,18005,3.388520208,3.385583491,
796,3.368444784,3.369438,0.054660666,18005,3.369243209,3.367646358,
797,3.330935343,3.328826,0.156709538,18005,3.333224391,3.328646295,
798,3.322775783,3.31953,0.210144155,18005,3.325845348,3.319706218,
799,3.261320998,3.253606,0.178119061,18005,3.263922774,3.258719222,
800,3.340759447,3.345843,0.144135813,18005,3.342864832,3.338654063,
801,3.346847778,3.350673,0.141416806,18005,3.348913446,3.34478211,
802,3.346645615,3.348008,0.118981505,18005,3.348383572,3.344907658,
803,3.337951346,3.341862,0.119943894,18005,3.33970336,3.336199331,
804,3.319328075,3.321743,0.15067173,18005,3.32152893,3.317127221,
805,3.314200726,3.309952,0.143167693,18005,3.316291969,3.312109483,
806,3.336518182,3.334258,0.066740086,18005,3.337493051,3.335543313,
807,3.335214409,3.332837,0.066613936,18005,3.336187435,3.334241382,
808,3.319148075,3.319663,0.064978646,18005,3.320097214,3.318198935,
